id	final	Definition	WN_offset	WN_PoS	Concepticon_id	WOLD_id	NELex_id	ULD_id
Agriculture/Plant:green coconut.N	no	A green (i.e., not mature) oval nut with a fibrous husk of the cocos palm, used as source of coconut water.			3034			
Agriculture/Plant:groundnut (peanut).N	no	A nutlike fruit from the plant Arachis hypogaea that grows on long stems under ground.			595			
Agriculture/Plant:harrow (tool).N	no	An agricultural implement consisting of many spikes, tines or discs dragged across the soil.			2545			
Agriculture/Plant:harvest crops.V	no	To gather the ripened crop.			1827			
Agriculture/Plant:hawthorn.N	no	Any of various shrubs and small trees of the genus Crataegus having small, apple-like fruits and thorny branches.			1168			
Agriculture/Plant:hay.N	no	Cut and dried grass for use as animal fodder.	7802026	n	342	8-52	Heu::N	
Agriculture/Plant:hemp.N	no	A tall annual herb, Cannabis sativa, native to Asia.			2041			
Agriculture/Plant:herb.N	no	A flowering plant that is valued for its medical properties.			2542			
Agriculture/Plant:highland barley.N	no	A subpecies of the cereal of the genus Hordeum, typically cultivated in the Himalaya region.			3079			
Agriculture/Plant:hoe.N	no	A tool with handle and blade with two or more prongs used for weeding, raking, etc.	3524574	n	284	8-25		
Agriculture/Plant:hops.N	no	Used to refer to flowers of the hop plant, used as flavouring or bittering agent in cooking and brewing activities.			3316			
Agriculture/Plant:inga (genus).N	no	Genus of plants commonly found in Brazil			3934			
Agriculture/Plant:jackfruit.N	no	A species of tree in the fig, mulberry and breadfruit family (Moraceae).			2655			
Agriculture/Plant:job's tears.N	no	A tall grain-bearing plant of the Poaceae family; coixseed; yi yi.			3281			
Agriculture/Plant:kapok tree.N	no	Either the Bombax ceiba (tree with red flowers), or the Calotropis procera, or the Ceiba pentandra.			2499			
Agriculture/Plant:kiwifruit.N	no	Edible berry of several species of woody vines in the genus Actinidia.			3247			
Agriculture/Plant:larch.N	no	A coniferous  tree, of genus Larix, having deciduous leaves.	11618861	n	116	8-991		
Agriculture/Plant:lasso.N	no	A long rope with a sliding loop on one end, generally used in ranching to catch cattle and horses.	3644378	n	340	8-29		
Agriculture/Plant:lemon.N	no	Fruit with yellow rind and acidic/sour juice.			3091			
Agriculture/Plant:lentils.N	no	A small seed that is dried and used in cooking.			3330			
Agriculture/Plant:liana.N	no	A liana is any of various long-stemmed, woody vines that are rooted in the soil at ground level and use trees, as well as other means of vertical support, to climb up to the canopy to get access to well-lit areas of the fores .			2388	8-99925		
Agriculture/Plant:liber (inner bark).N	no	The inner most layer of bark (particularly from a tree).			3950			
Agriculture/Plant:lime (fruit).N	no	A green citrus fruit.			982			
Agriculture/Plant:lontar palm.N	no	Species of the genus Borassus of fan palms.			3030			
Agriculture/Plant:lotus.N	no	One of two species of aquatic plant in the family Nelumbonaceae.			2359			
Agriculture/Plant:mahogany tree.N	no	A species of trees in the mahogany family Meliaceae, native to tropical Africa and Madagascar.			455			
Agriculture/Plant:maize.N	no	A type of grain of the species Zea mays.	12143676	n	506	8-47		
Agriculture/Plant:mandarine.N	no	A small citrus tree with fruit resembling other oranges. Mandarin oranges are usually eaten plain or in fruit salads.			2367			
Agriculture/Plant:mango.N	no	The fruit from the Mango tree.			2398	8-9993		
Agriculture/Plant:mangrove.N	no	Any of various tropical evergreen trees or shrubs that grow in shallow coastal water; Plants of the Rhizophoraceae family and/or of the genus Rhizophora.			350	8-99931		
Agriculture/Plant:manioc flour.N	no	Flour made of the cassava plant or root.			324	5-99909		
Agriculture/Plant:manioc.N	no	Shrub (Manihot esculenta) whose roots are rich in starch.			927			
Agriculture/Plant:manzanita.N	no	Species of the genus Arctostaphylos; evergreen shrubs or small trees present in the chaparral biome of western North America.			520			
Agriculture/Plant:maple tree.N	no	A group of trees belonging to the genus acer.			3248			
Agriculture/Plant:millet.N	no	A group of small-seeded species of cereal crops, widely grown around the world for food and fodder.	12137120	n	931	8-911		
Agriculture/Plant:miriti palm.N	no	Mauritia flexuosa, a palm tree of the family Arecaceae, common to tropical regions of South America.			3811			
Agriculture/Plant:moringa tree.N	no	Species of the genus Moringa, widely cultivated in tropical and subtropical areas and used in herbal medicine.			3031			
Agriculture/Plant:moss.N	no	Any plant of the class Bryophyta, occurring in nearly all damp habitats.			637			
Agriculture/Plant:muer (fungus).N	no	An ear-shaped edible fungus that belongs to the species of Auriculariaceae and is used in medicine and culinary.			3392			
Agriculture/Plant:mugwort.N	no	A common name for several species of aromatic plants in the genus Artemisia.			2361			
Agriculture/Plant:mushroom.N	no	An organism belonging to a family of Basidiomycetes that are characterized by the production of spores on gills.	13000891	n	641	8-98	Pilz::N	
Agriculture/Plant:nettle.N	no	Any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae). [B:33]	12392070	n	33	8-97		
Agriculture/Plant:oak.N	no	Any tree of the genus Quercus in the order Fagales, characterized by simple, usually lobed leaves, scaly winter buds, a star-shaped pith, and its fruit, the acorn, which is a nut; the wood is tough, hard, and durable, generally having a distinct pattern.	12268246	n	644	8-61		
Agriculture/Plant:oat.N	no	A species of grass (Avena sativa) grown for its seed.	12109827	n	60	8-46		
Agriculture/Plant:okra.N	no	A flowering plant in the mallow (Malvaceae) family valued for its edible pods; okro, ochro; ladies' fingers.			1737			
Agriculture/Plant:osmanthus fragrans.N	no	A small tree species native to Asia from the Himalayas through southern China.			2747			
Agriculture/Plant:palm tree.N	no	Any of various evergreen trees from the family Palmae or Arecaceae, which are mainly found in the tropics.	12582231	n	1181	8-81		
Agriculture/Plant:pandanus.N	no	Palm-like, dioecious trees and shrubs native to the Old World tropics and subtropics.			469			
Agriculture/Plant:peach blossom.N	no	The flower of the Peach Tree.			2746			
Agriculture/Plant:peach palm.N	no	A species of palm, also know as Bactris gasipaes, native to the tropical forests of Central and South America.			3919			
Agriculture/Plant:peach tree.N	no	The tree that bears peaches as fruits.			2358			
Agriculture/Plant:peach.N	no	The soft, sweet, juicy fruit of the peach tree, usually with a red or orange skin, yellow flesh and a large stone inside.			2043			
Agriculture/Plant:peanut.N	no	A species in the family Fabaceae (commonly known as the bean, pea or legume family).			2364			
Agriculture/Plant:pear.N	no	A fruit produced by the pear tree.			922	8-99938		
Agriculture/Plant:persimmon.N	no	Edible fruit of a number of species of trees of the genus Diospyros in the ebony wood family.			2044			
Agriculture/Plant:pine.N	no	Evergreen coniferous tree of the genus Pinus.	11608250	n	1740	8-64	Kiefer[Baum]::N	1045
Agriculture/Plant:pipe.N	no	A device consisting of a mouthpiece, a long pipe stem and a pipe bowl, that is used to smoke tobacco.	3945167	n	1124	8-691		
Agriculture/Plant:plant (something).V	no	To put a plant in the ground so that it strikes root and grows.	1567275	v	1486	8-531		
Agriculture/Plant:plantago.N	no	A plant of the genus Plantago, with a rosette of sessile leaves about 10 cm long with a narrow part instead of a petiole, and with a spike inflorescence with the flower spacing varying widely among the species.			3221			
Agriculture/Plant:poplar.N	no	Any of various deciduous trees of the genus Populus.			821			
Agriculture/Plant:prickly ash.N	no	A flowering plant in the family Rutaceae.			3253			
Agriculture/Plant:pumpkin.N	no	A squash fruit of the Cucurbita genus, most commonly orange in colour when ripe and traditionally used during Halloween.	7715561	n	864	8-931		
Agriculture/Plant:put out to pasture.V	no	To put livestock into a field or pasture or meadow to graze.			2031			
Agriculture/Plant:radish.N	no	An edible root vegetable of the Brassicaceae family that was domesticated in Europe in pre-Roman times.			2365			
Agriculture/Plant:ramie.N	no	A perennial shrub native to Eastern Asia, with broad leaves and clusters of greenish flowers.			3063			
Agriculture/Plant:raspberry.N	no	The edible, berry-like fruit of a multitude of plant species in the genus Rubus of the family Rosaceae, most typically red, small and sweet.			3803			
Agriculture/Plant:ribes.N	no	A member of the genus Ribes in the gooseberry family Grossulariaceae, native to parts of western Europe (France, Belgium, Netherlands, Germany, and northern Italy). It is a deciduous shrub normally growing to 1-1.5 m tall, occasionally 2 m, with five-lobed leaves arranged spirally on the stems.			1988			
Agriculture/Plant:rice flour.N	no	A flour made from finely milled rice, distinct from rice starch which is produced by steeping rice in lye; rice powder.			3285			
Agriculture/Plant:rice husk.N	no	The husk of rice seeds.			2501			
Agriculture/Plant:rice plant.N	no	An erect grass, Oryza sativa, that grows in East Asia on wet ground and has drooping flower spikes and yellow oblong edible grains that become white when polished.			2026			
Agriculture/Plant:rice seedling.N	no	The seedling of a rice plant.			3767			
Agriculture/Plant:rice straw.N	no	The dry stalks of the rice plant.			3391			
Agriculture/Plant:rice.N	no	Seeds of the rice plant (Oryza sativa) used as food.	12125890	n	926	8-48		
Agriculture/Plant:ripe coconut.N	no	A ripe (i.e., mature) oval nut with a fibrous husk of the cocos palm, used as source of coconut meat.			3035			
Agriculture/Plant:rose.N	no	A showy flower of any of a genus (Rosa of the family Rosaceae, the rose family).			3882			
Agriculture/Plant:rye.N	no	Biennial plant from the genus Secale of the family Poaceae, used as a cereal or for forage.	12134025	n	23	8-45		
Agriculture/Plant:scythe.N	no	A farm tool consisting of a long bent blade attached to a shaft, that is designed for cutting straws of grass or grain from an upright position.			20			
Agriculture/Plant:sesame.N	no	A flowering plant in the genus Sesamum.			2797			
Agriculture/Plant:shea nut tree.N	no	Tree of the Sapotaceae family,indigenous to Africa, commonly known as shea tree. The shea fruits are oil-rich seed from which shea butter is extracted.			454			
Agriculture/Plant:shrub.N	no	A woody perennial plant, smaller than a tree, with several major branches arising from near the base of the main stem.			751			
